customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
0002-ORFBO,Female,0,Yes,Yes,9,"One year",Yes,"Mailed check",65.60,593.30,Yes,No,DSL,No,Yes,No,Yes,Yes,No,"No"
0003-MKNFE,Male,0,No,No,9,Month-to-month,No,"Mailed check",59.90,542.40,Yes,Yes,DSL,No,No,No,No,No,Yes,"No"
0004-TLHLJ,Male,0,No,No,4,Month-to-month,Yes,"Electronic check",73.90,280.85,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Yes
0011-IGKFF,Male,1,Yes,No,13,Month-to-month,Yes,"Electronic check",98.00,1237.85,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Yes
0013-EXCHZ,Female,1,Yes,No,3,Month-to-month,Yes,"Mailed check",83.90,267.40,Yes,No,"Fiber optic",No,No,No,Yes,Yes,No,Yes
0013-MHZWF,Female,0,No,Yes,9,Month-to-month,Yes,"Credit card (automatic)",69.40,571.45,Yes,No,DSL,No,No,No,Yes,Yes,Yes,"No"
0013-SMEOE,Female,1,Yes,No,71,"Two year",Yes,"Bank transfer (automatic)",109.70,7904.25,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0014-BMAQU,Male,0,Yes,No,63,"Two year",Yes,"Credit card (automatic)",84.65,5377.80,Yes,Yes,"Fiber optic",Yes,No,No,Yes,No,No,"No"
0015-UOCOJ,Female,1,No,No,7,Month-to-month,Yes,"Electronic check",48.20,340.35,Yes,No,DSL,Yes,No,No,No,No,No,"No"
0016-QLJIS,Female,0,Yes,Yes,65,"Two year",Yes,"Mailed check",90.45,5957.90,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"No"
0017-DINOC,Male,0,No,No,54,"Two year",No,"Credit card (automatic)",45.20,2460.55,No,"No phone service",DSL,Yes,No,No,Yes,Yes,No,"No"
0017-IUDMW,Female,0,Yes,Yes,72,"Two year",Yes,"Credit card (automatic)",116.80,8456.75,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0018-NYROU,Female,0,Yes,No,5,Month-to-month,Yes,"Electronic check",68.95,351.50,Yes,No,"Fiber optic",No,No,No,No,No,No,"No"
0019-EFAEP,Female,0,No,No,72,"Two year",Yes,"Bank transfer (automatic)",101.30,7261.25,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,No,"No"
0019-GFNTW,Female,0,No,No,56,"Two year",No,"Bank transfer (automatic)",45.05,2560.10,No,"No phone service",DSL,Yes,Yes,Yes,Yes,No,No,"No"
0020-INWCK,Female,0,Yes,Yes,71,"Two year",Yes,"Credit card (automatic)",95.75,6849.40,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,Yes,"No"
0020-JDNXP,Female,0,Yes,Yes,34,"One year",No,"Mailed check",61.25,1993.20,No,"No phone service",DSL,Yes,No,Yes,Yes,Yes,Yes,"No"
0021-IKXGC,Female,1,No,No,1,Month-to-month,Yes,"Electronic check",72.10,72.10,Yes,Yes,"Fiber optic",No,No,No,No,No,No,"No"
0022-TCJCI,Male,1,No,No,45,"One year",No,"Credit card (automatic)",62.70,2791.50,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Yes
0023-HGHWL,Male,1,No,No,1,Month-to-month,Yes,"Electronic check",25.10,25.10,No,"No phone service",DSL,No,No,No,No,No,No,Yes
0023-UYUPN,Female,1,Yes,No,50,"One year",No,"Electronic check",25.20,1306.30,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0023-XUOPT,Female,0,Yes,No,13,Month-to-month,No,"Electronic check",94.10,1215.60,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,No,Yes
0027-KWYKW,Female,0,Yes,Yes,23,Month-to-month,Yes,"Electronic check",83.75,1849.95,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,"No"
0030-FNXPP,Female,0,No,No,3,Month-to-month,No,"Mailed check",19.85,57.20,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0031-PVLZI,Female,0,Yes,Yes,4,Month-to-month,No,"Mailed check",20.35,76.35,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes
0032-PGELS,Female,0,Yes,Yes,1,Month-to-month,No,"Bank transfer (automatic)",30.50,30.50,No,"No phone service",DSL,Yes,No,No,No,No,No,Yes
0036-IHMOT,Female,0,Yes,Yes,55,"One year",Yes,"Bank transfer (automatic)",103.70,5656.75,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"No"
0040-HALCW,Male,0,Yes,Yes,54,"Two year",No,"Credit card (automatic)",20.40,1090.60,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0042-JVWOJ,Male,0,No,No,26,"One year",Yes,"Bank transfer (automatic)",19.60,471.85,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0042-RLHYP,Female,0,Yes,Yes,69,"Two year",No,"Bank transfer (automatic)",19.70,1396.90,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0048-LUMLS,Male,0,Yes,Yes,37,"One year",No,"Credit card (automatic)",91.20,3247.55,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,"No"
0048-PIHNL,Female,0,Yes,No,49,"One year",No,"Bank transfer (automatic)",20.45,900.90,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0052-DCKON,Male,0,Yes,No,66,"One year",No,"Bank transfer (automatic)",115.80,7942.15,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0052-YNYOT,Female,0,No,No,67,"One year",No,"Electronic check",20.55,1343.40,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0056-EPFBG,Male,0,Yes,Yes,20,"Two year",Yes,"Credit card (automatic)",39.40,825.40,No,"No phone service",DSL,Yes,No,Yes,Yes,No,No,"No"
0057-QBUQH,Female,0,No,Yes,43,"Two year",Yes,"Electronic check",25.10,1070.15,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0058-EVZWM,Female,0,Yes,No,55,Month-to-month,Yes,"Bank transfer (automatic)",89.80,4959.60,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,No,"No"
0060-FUALY,Female,0,Yes,No,59,Month-to-month,Yes,"Electronic check",94.75,5597.65,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,"No"
0064-SUDOG,Female,0,Yes,Yes,12,"Two year",No,"Bank transfer (automatic)",20.30,224.50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0064-YIJGF,Male,0,Yes,Yes,27,Month-to-month,Yes,"Bank transfer (automatic)",75.75,1929.00,Yes,Yes,"Fiber optic",No,No,No,No,No,No,"No"
0067-DKWBL,Male,1,No,No,2,Month-to-month,Yes,"Electronic check",49.25,91.10,Yes,No,DSL,Yes,No,No,No,No,No,Yes
0068-FIGTF,Female,0,No,No,27,"One year",No,"Mailed check",78.20,2078.95,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"No"
0071-NDAFP,Male,0,Yes,Yes,25,"Two year",No,"Credit card (automatic)",25.50,630.60,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0074-HDKDG,Male,0,Yes,Yes,25,"One year",Yes,"Bank transfer (automatic)",61.60,1611.00,Yes,No,DSL,Yes,Yes,Yes,No,No,No,"No"
0076-LVEPS,Male,0,No,Yes,29,Month-to-month,Yes,"Mailed check",45.00,1242.45,No,"No phone service",DSL,Yes,Yes,Yes,Yes,No,No,"No"
0078-XZMHT,Male,0,Yes,No,72,"Two year",Yes,"Bank transfer (automatic)",85.15,6316.20,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,"No"
